"protein_name","CellType","enriched"
"adgrd1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"golga3","Plasma_Cells","Immune-enriched"
"mphosph8","alpha-beta_T_Cells","Immune-enriched"
"il17d","NK-like_Cells","Immune-enriched"
"sap18","Hepatocyte_6","Hepatocyte-enriched"
"tnfrsf19","Cholangiocytes","Cholangiocyte-enriched"
"c1qtnf9","Periportal_LSECs","EC-enriched"
"cenpj","gamma-delta_T_Cells_2","Immune-enriched"
"wasf3","Portal_endothelial_Cells","EC-enriched"
"mtif3","Hepatocyte_6","Hepatocyte-enriched"
"flt3","Inflammatory_Macrophage","Immune-enriched"
"flt1","Central_venous_LSECs","EC-enriched"
"postn","Portal_endothelial_Cells","EC-enriched"
"nhlrc3","NK-like_Cells","Immune-enriched"
"foxo1","Periportal_LSECs","EC-enriched"
"rgcc","Erythroid_Cells","Immune-enriched"
"tnfsf11","Hepatocyte_2","Hepatocyte-enriched"
"tsc22d1","Erythroid_Cells","Immune-enriched"
"tpt1","Hepatocyte_6","Hepatocyte-enriched"
"cpb2","Hepatocyte_6","Hepatocyte-enriched"
"lcp1","Non-inflammatory_Macrophage","Immune-enriched"
"nudt15","Hepatocyte_6","Hepatocyte-enriched"
"thsd1","Periportal_LSECs","EC-enriched"
"sugt1","Erythroid_Cells","Immune-enriched"
"pcdh17","Central_venous_LSECs","EC-enriched"
"pcdh9","Mature_B_Cells","Immune-enriched"
"mzt1","gamma-delta_T_Cells_2","Immune-enriched"
"pibf1","Hepatocyte_6","Hepatocyte-enriched"
"mycbp2","Mature_B_Cells","Immune-enriched"
"ednrb","Hepatic_Stellate_Cells","Stellate cells-enriched"
"spry2","NK-like_Cells","Immune-enriched"
"slitrk6","Hepatic_Stellate_Cells","Stellate cells-enriched"
"stk24","Non-inflammatory_Macrophage","Immune-enriched"
"dock9","Periportal_LSECs","EC-enriched"
"ggact","Hepatocyte_6","Hepatocyte-enriched"
"itgbl1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"efnb2","Periportal_LSECs","EC-enriched"
"tnfsf13b","Inflammatory_Macrophage","Immune-enriched"
"col4a1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ing1","Hepatocyte_1","Hepatocyte-enriched"
"f7","Hepatocyte_4","Hepatocyte-enriched"
"f10","Hepatocyte_1","Hepatocyte-enriched"
"lamp1","Hepatocyte_4","Hepatocyte-enriched"
"dcun1d2","Central_venous_LSECs","EC-enriched"
"gas6","Periportal_LSECs","EC-enriched"
"apex1","gamma-delta_T_Cells_1","Immune-enriched"
"rnase4","Hepatocyte_5","Hepatocyte-enriched"
"ang","Hepatocyte_6","Hepatocyte-enriched"
"rnase6","Inflammatory_Macrophage","Immune-enriched"
"rnase1","Portal_endothelial_Cells","EC-enriched"
"rnase3","Inflammatory_Macrophage","Immune-enriched"
"tppp2","Hepatocyte_4","Hepatocyte-enriched"
"rab2b","Hepatocyte_4","Hepatocyte-enriched"
"mrpl52","Plasma_Cells","Immune-enriched"
"thtpa","Hepatocyte_3","Hepatocyte-enriched"
"ap1g2","alpha-beta_T_Cells","Immune-enriched"
"dhrs4l2","Hepatocyte_6","Hepatocyte-enriched"
"psme1","Hepatocyte_6","Hepatocyte-enriched"
"psme2","Hepatocyte_6","Hepatocyte-enriched"
"rnf31","Hepatocyte_3","Hepatocyte-enriched"
"gmpr2","Hepatocyte_6","Hepatocyte-enriched"
"gzmh","gamma-delta_T_Cells_1","Immune-enriched"
"gzmb","gamma-delta_T_Cells_1","Immune-enriched"
"coch","Mature_B_Cells","Immune-enriched"
"arhgap5","Hepatocyte_4","Hepatocyte-enriched"
"clec14a","Periportal_LSECs","EC-enriched"
"arf6","gamma-delta_T_Cells_1","Immune-enriched"
"vcpkmt","Mature_B_Cells","Immune-enriched"
"map4k5","Central_venous_LSECs","EC-enriched"
"nid2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"bmp4","Portal_endothelial_Cells","EC-enriched"
"lgals3","Erythroid_Cells","Immune-enriched"
"dlgap5","Erythroid_Cells","Immune-enriched"
"daam1","Erythroid_Cells","Immune-enriched"
"l3hypdh","Hepatocyte_6","Hepatocyte-enriched"
"ppm1a","Erythroid_Cells","Immune-enriched"
"mnat1","Hepatocyte_6","Hepatocyte-enriched"
"hif1a","Portal_endothelial_Cells","EC-enriched"
"hspa2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"max","Mature_B_Cells","Immune-enriched"
"fut8","Plasma_Cells","Immune-enriched"
"atp6v1d","Erythroid_Cells","Immune-enriched"
"arg2","Erythroid_Cells","Immune-enriched"
"smoc1","Hepatocyte_4","Hepatocyte-enriched"
"rbm25","Plasma_Cells","Immune-enriched"
"numb","Inflammatory_Macrophage","Immune-enriched"
"pnma1","Central_venous_LSECs","EC-enriched"
"entpd5","Hepatocyte_5","Hepatocyte-enriched"
"npc2","Non-inflammatory_Macrophage","Immune-enriched"
"ltbp2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"pgf","Hepatic_Stellate_Cells","Stellate cells-enriched"
"acyp1","Erythroid_Cells","Immune-enriched"
"tmed10","Plasma_Cells","Immune-enriched"
"fos","Inflammatory_Macrophage","Immune-enriched"
"batf","gamma-delta_T_Cells_1","Immune-enriched"
"vash1","Central_venous_LSECs","EC-enriched"
"tmed8","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ahsa1","Hepatocyte_6","Hepatocyte-enriched"
"slirp","Hepatocyte_6","Hepatocyte-enriched"
"nrxn3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"sel1l","Hepatocyte_5","Hepatocyte-enriched"
"flrt2","Periportal_LSECs","EC-enriched"
"tdp1","Plasma_Cells","Immune-enriched"
"atxn3","Portal_endothelial_Cells","EC-enriched"
"lgmn","Non-inflammatory_Macrophage","Immune-enriched"
"unc79","Non-inflammatory_Macrophage","Immune-enriched"
"serpina6","Hepatocyte_5","Hepatocyte-enriched"
"serpina1","Hepatocyte_3","Hepatocyte-enriched"
"serpina11","Hepatocyte_3","Hepatocyte-enriched"
"serpina12","Hepatocyte_5","Hepatocyte-enriched"
"serpina4","Hepatocyte_4","Hepatocyte-enriched"
"serpina5","Cholangiocytes","Cholangiocyte-enriched"
"glrx5","Erythroid_Cells","Immune-enriched"
"tcl1a","Mature_B_Cells","Immune-enriched"
"yy1","Hepatocyte_6","Hepatocyte-enriched"
"wars","Central_venous_LSECs","EC-enriched"
"dync1h1","Portal_endothelial_Cells","EC-enriched"
"cinp","Hepatocyte_6","Hepatocyte-enriched"
"rcor1","Inflammatory_Macrophage","Immune-enriched"
"traf3","Mature_B_Cells","Immune-enriched"
"amn","Hepatocyte_5","Hepatocyte-enriched"
"cdc42bpb","Portal_endothelial_Cells","EC-enriched"
"tnfaip2","Non-inflammatory_Macrophage","Immune-enriched"
"eif5","Erythroid_Cells","Immune-enriched"
"ckb","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ahnak2","Hepatocyte_6","Hepatocyte-enriched"
"pacs2","Periportal_LSECs","EC-enriched"
"crip2","Periportal_LSECs","EC-enriched"
"srp14","Hepatocyte_6","Hepatocyte-enriched"
"plcb2","Non-inflammatory_Macrophage","Immune-enriched"
"ivd","Hepatocyte_6","Hepatocyte-enriched"
"rad51","gamma-delta_T_Cells_2","Immune-enriched"
"gchfr","Hepatocyte_6","Hepatocyte-enriched"
"zfyve19","Hepatocyte_4","Hepatocyte-enriched"
"ppp1r14d","Cholangiocytes","Cholangiocyte-enriched"
"spint1","Cholangiocytes","Cholangiocyte-enriched"
"dll4","Central_venous_LSECs","EC-enriched"
"chp1","Hepatocyte_6","Hepatocyte-enriched"
"tyro3","Central_venous_LSECs","EC-enriched"
"capn3","Hepatocyte_5","Hepatocyte-enriched"
"snap23","Non-inflammatory_Macrophage","Immune-enriched"
"cdan1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"tp53bp1","Central_venous_LSECs","EC-enriched"
"pdia3","Hepatocyte_5","Hepatocyte-enriched"
"b2m","gamma-delta_T_Cells_1","Immune-enriched"
"sord","Hepatocyte_4","Hepatocyte-enriched"
"duox2","Cholangiocytes","Cholangiocyte-enriched"
"dut","gamma-delta_T_Cells_2","Immune-enriched"
"cep152","Erythroid_Cells","Immune-enriched"
"fgf7","Erythroid_Cells","Immune-enriched"
"usp8","Hepatocyte_4","Hepatocyte-enriched"
"scg3","Central_venous_LSECs","EC-enriched"
"leo1","Hepatocyte_6","Hepatocyte-enriched"
"prtg","Hepatic_Stellate_Cells","Stellate cells-enriched"
"bnip2","Non-inflammatory_Macrophage","Immune-enriched"
"anxa2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ca12","Hepatocyte_4","Hepatocyte-enriched"
"dapk2","NK-like_Cells","Immune-enriched"
"ppib","Plasma_Cells","Immune-enriched"
"rbpms2","Hepatocyte_4","Hepatocyte-enriched"
"slc51b","Hepatocyte_5","Hepatocyte-enriched"
"cilp","Hepatic_Stellate_Cells","Stellate cells-enriched"
"megf11","Periportal_LSECs","EC-enriched"
"map2k1","Hepatocyte_6","Hepatocyte-enriched"
"smad3","Erythroid_Cells","Immune-enriched"
"itga11","Hepatic_Stellate_Cells","Stellate cells-enriched"
"spesp1","Hepatocyte_6","Hepatocyte-enriched"
"neo1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"nptn","Non-inflammatory_Macrophage","Immune-enriched"
"cd276","Hepatocyte_4","Hepatocyte-enriched"
"sema7a","Erythroid_Cells","Immune-enriched"
"mpi","Hepatocyte_6","Hepatocyte-enriched"
"ppcdc","Plasma_Cells","Immune-enriched"
"ptpn9","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cspg4","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dnaja4","Erythroid_Cells","Immune-enriched"
"morf4l1","Hepatocyte_6","Hepatocyte-enriched"
"ctsh","Cholangiocytes","Cholangiocyte-enriched"
"rasgrf1","Mature_B_Cells","Immune-enriched"
"il16","Plasma_Cells","Immune-enriched"
"sh3gl3","Portal_endothelial_Cells","EC-enriched"
"slc28a1","Hepatocyte_4","Hepatocyte-enriched"
"ntrk3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"mrpl46","Hepatocyte_6","Hepatocyte-enriched"
"mfge8","Hepatic_Stellate_Cells","Stellate cells-enriched"
"plin1","Hepatocyte_2","Hepatocyte-enriched"
"anpep","Hepatocyte_5","Hepatocyte-enriched"
"ap3s2","Hepatocyte_6","Hepatocyte-enriched"
"ngrn","Mature_B_Cells","Immune-enriched"
"furin","Hepatocyte_5","Hepatocyte-enriched"
"fes","Inflammatory_Macrophage","Immune-enriched"
"prc1","Erythroid_Cells","Immune-enriched"
"rgma","Inflammatory_Macrophage","Immune-enriched"
"igf1r","Periportal_LSECs","EC-enriched"
"hbz","Erythroid_Cells","Immune-enriched"
"hbq1","Erythroid_Cells","Immune-enriched"
"axin1","gamma-delta_T_Cells_1","Immune-enriched"
"mrpl28","Hepatocyte_6","Hepatocyte-enriched"
"rab11fip3","Hepatocyte_4","Hepatocyte-enriched"
"wfikkn1","Hepatocyte_5","Hepatocyte-enriched"
"msln","Cholangiocytes","Cholangiocyte-enriched"
"cacna1h","Hepatocyte_4","Hepatocyte-enriched"
"tpsg1","Hepatocyte_4","Hepatocyte-enriched"
"tpsab1","alpha-beta_T_Cells","Immune-enriched"
"nme3","Periportal_LSECs","EC-enriched"
"hagh","Erythroid_Cells","Immune-enriched"
"gfer","Hepatocyte_6","Hepatocyte-enriched"
"slc9a3r2","Hepatocyte_6","Hepatocyte-enriched"
"pkd1","Hepatocyte_4","Hepatocyte-enriched"
"amdhd2","Non-inflammatory_Macrophage","Immune-enriched"
"kctd5","NK-like_Cells","Immune-enriched"
"prss27","Mature_B_Cells","Immune-enriched"
"prss22","Cholangiocytes","Cholangiocyte-enriched"
"tnfrsf12a","Cholangiocytes","Cholangiocyte-enriched"
"il32","alpha-beta_T_Cells","Immune-enriched"
"znf174","NK-like_Cells","Immune-enriched"
"vasn","Hepatic_Stellate_Cells","Stellate cells-enriched"
"hmox2","Hepatocyte_6","Hepatocyte-enriched"
"glyr1","Erythroid_Cells","Immune-enriched"
"ppl","Cholangiocytes","Cholangiocyte-enriched"
"nagpa","gamma-delta_T_Cells_1","Immune-enriched"
"pmm2","Hepatocyte_6","Hepatocyte-enriched"
"carhsp1","Hepatocyte_6","Hepatocyte-enriched"
"nubp1","Hepatocyte_6","Hepatocyte-enriched"
"tnfrsf17","Plasma_Cells","Immune-enriched"
"cpped1","Inflammatory_Macrophage","Immune-enriched"
"pla2g10","Cholangiocytes","Cholangiocyte-enriched"
"nomo1","Plasma_Cells","Immune-enriched"
"pdxdc1","Hepatocyte_2","Hepatocyte-enriched"
"coq7","Mature_B_Cells","Immune-enriched"
"gp2","Cholangiocytes","Cholangiocyte-enriched"
"crym","Hepatocyte_6","Hepatocyte-enriched"
"otoa","Non-inflammatory_Macrophage","Immune-enriched"
"il4r","Mature_B_Cells","Immune-enriched"
"il21r","Non-inflammatory_Macrophage","Immune-enriched"
"apobr","NK-like_Cells","Immune-enriched"
"sult1a1","Hepatocyte_6","Hepatocyte-enriched"
"atxn2l","gamma-delta_T_Cells_2","Immune-enriched"
"lat","alpha-beta_T_Cells","Immune-enriched"
"kif22","Hepatocyte_6","Hepatocyte-enriched"
"pagr1","gamma-delta_T_Cells_2","Immune-enriched"
"sez6l2","Cholangiocytes","Cholangiocyte-enriched"
"coro1a","gamma-delta_T_Cells_1","Immune-enriched"
"mylpf","gamma-delta_T_Cells_1","Immune-enriched"
"dctpp1","Plasma_Cells","Immune-enriched"
"itgal","NK-like_Cells","Immune-enriched"
"ctf1","gamma-delta_T_Cells_1","Immune-enriched"
"stx1b","Hepatic_Stellate_Cells","Stellate cells-enriched"
"stx4","Inflammatory_Macrophage","Immune-enriched"
"prss53","Hepatocyte_5","Hepatocyte-enriched"
"prss8","Cholangiocytes","Cholangiocyte-enriched"
"fus","gamma-delta_T_Cells_1","Immune-enriched"
"itgam","Inflammatory_Macrophage","Immune-enriched"
"itgax","Inflammatory_Macrophage","Immune-enriched"
"ahsp","Erythroid_Cells","Immune-enriched"
"dnaja2","Erythroid_Cells","Immune-enriched"
"lpcat2","Non-inflammatory_Macrophage","Immune-enriched"
"ces1","Hepatocyte_4","Hepatocyte-enriched"
"amfr","Hepatocyte_2","Hepatocyte-enriched"
"arl2bp","Erythroid_Cells","Immune-enriched"
"cx3cl1","Hepatocyte_4","Hepatocyte-enriched"
"ccl17","Non-inflammatory_Macrophage","Immune-enriched"
"ciapin1","gamma-delta_T_Cells_2","Immune-enriched"
"adgrg1","gamma-delta_T_Cells_1","Immune-enriched"
"mmp15","Hepatocyte_4","Hepatocyte-enriched"
"cdh5","Central_venous_LSECs","EC-enriched"
"ces2","Hepatocyte_4","Hepatocyte-enriched"
"ces3","Hepatocyte_4","Hepatocyte-enriched"
"tppp3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"agrp","Mature_B_Cells","Immune-enriched"
"gfod2","Erythroid_Cells","Immune-enriched"
"ctrl","gamma-delta_T_Cells_1","Immune-enriched"
"lcat","Hepatocyte_6","Hepatocyte-enriched"
"dpep2","Non-inflammatory_Macrophage","Immune-enriched"
"nfatc3","Hepatocyte_2","Hepatocyte-enriched"
"pla2g15","Non-inflammatory_Macrophage","Immune-enriched"
"smpd3","NK-like_Cells","Immune-enriched"
"cdh1","Cholangiocytes","Cholangiocyte-enriched"
"nfat5","Portal_endothelial_Cells","EC-enriched"
"wwp2","Erythroid_Cells","Immune-enriched"
"il34","Hepatic_Stellate_Cells","Stellate cells-enriched"
"calb2","Periportal_LSECs","EC-enriched"
"ist1","Non-inflammatory_Macrophage","Immune-enriched"
"dhodh","Hepatocyte_6","Hepatocyte-enriched"
"cmip","Periportal_LSECs","EC-enriched"
"hsbp1","Non-inflammatory_Macrophage","Immune-enriched"
"wfdc1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"mthfsd","gamma-delta_T_Cells_2","Immune-enriched"
"ca5a","Hepatocyte_6","Hepatocyte-enriched"
"il17c","Cholangiocytes","Cholangiocyte-enriched"
"aprt","Hepatocyte_6","Hepatocyte-enriched"
"cdh15","Hepatic_Stellate_Cells","Stellate cells-enriched"
"dpep1","Plasma_Cells","Immune-enriched"
"chmp1a","Hepatocyte_3","Hepatocyte-enriched"
"doc2b","Periportal_LSECs","EC-enriched"
"vps53","NK-like_Cells","Immune-enriched"
"glod4","Hepatocyte_6","Hepatocyte-enriched"
"scarf1","Central_venous_LSECs","EC-enriched"
"rilp","Erythroid_Cells","Immune-enriched"
"serpinf2","Hepatocyte_4","Hepatocyte-enriched"
"serpinf1","Hepatocyte_6","Hepatocyte-enriched"
"trpv3","Plasma_Cells","Immune-enriched"
"shpk","Hepatocyte_2","Hepatocyte-enriched"
"camkk1","Portal_endothelial_Cells","EC-enriched"
"cxcl16","Non-inflammatory_Macrophage","Immune-enriched"
"vmo1","Central_venous_LSECs","EC-enriched"
"mink1","Erythroid_Cells","Immune-enriched"
"gp1ba","Hepatic_Stellate_Cells","Stellate cells-enriched"
"eno3","Hepatocyte_3","Hepatocyte-enriched"
"kif1c","Hepatocyte_4","Hepatocyte-enriched"
"rabep1","Erythroid_Cells","Immune-enriched"
"c1qbp","Plasma_Cells","Immune-enriched"
"clec10a","Inflammatory_Macrophage","Immune-enriched"
"asgr2","Hepatocyte_3","Hepatocyte-enriched"
"asgr1","Hepatocyte_4","Hepatocyte-enriched"
"dlg4","Inflammatory_Macrophage","Immune-enriched"
"gabarap","Inflammatory_Macrophage","Immune-enriched"
"eif5a","Erythroid_Cells","Immune-enriched"
"nlgn2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"polr2a","gamma-delta_T_Cells_1","Immune-enriched"
"tnfsf12","alpha-beta_T_Cells","Immune-enriched"
"tnfsf13","Inflammatory_Macrophage","Immune-enriched"
"shbg","Hepatocyte_5","Hepatocyte-enriched"
"sat2","Hepatocyte_6","Hepatocyte-enriched"
"atp1b2","Erythroid_Cells","Immune-enriched"
"tp53","Portal_endothelial_Cells","EC-enriched"
"stx8","Hepatocyte_6","Hepatocyte-enriched"
"hs3st3b1","Hepatocyte_4","Hepatocyte-enriched"
"tnfrsf13b","Plasma_Cells","Immune-enriched"
"mprip","Portal_endothelial_Cells","EC-enriched"
"drg2","Hepatocyte_6","Hepatocyte-enriched"
"shmt1","Hepatocyte_3","Hepatocyte-enriched"
"mfap4","Hepatic_Stellate_Cells","Stellate cells-enriched"
"aldh3a1","Hepatocyte_1","Hepatocyte-enriched"
"lgals9","Non-inflammatory_Macrophage","Immune-enriched"
"ift20","Hepatocyte_6","Hepatocyte-enriched"
"sez6","gamma-delta_T_Cells_1","Immune-enriched"
"git1","Portal_endothelial_Cells","EC-enriched"
"coro6","Hepatic_Stellate_Cells","Stellate cells-enriched"
"blmh","Portal_endothelial_Cells","EC-enriched"
"omg","Non-inflammatory_Macrophage","Immune-enriched"
"evi2b","Inflammatory_Macrophage","Immune-enriched"
"ccl2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"ccl8","Non-inflammatory_Macrophage","Immune-enriched"
"znf830","Erythroid_Cells","Immune-enriched"
"ap2b1","Erythroid_Cells","Immune-enriched"
"ccl5","gamma-delta_T_Cells_1","Immune-enriched"
"ccl16","Hepatocyte_6","Hepatocyte-enriched"
"ccl14","Central_venous_LSECs","EC-enriched"
"ccl15","Hepatocyte_6","Hepatocyte-enriched"
"ccl23","Central_venous_LSECs","EC-enriched"
"ccl18","Inflammatory_Macrophage","Immune-enriched"
"ccl3","NK-like_Cells","Immune-enriched"
"ccl4","gamma-delta_T_Cells_1","Immune-enriched"
"plxdc1","alpha-beta_T_Cells","Immune-enriched"
"cacnb1","NK-like_Cells","Immune-enriched"
"erbb2","Cholangiocytes","Cholangiocyte-enriched"
"casc3","Mature_B_Cells","Immune-enriched"
"igfbp4","Hepatocyte_4","Hepatocyte-enriched"
"krt19","Cholangiocytes","Cholangiocyte-enriched"
"cnp","gamma-delta_T_Cells_2","Immune-enriched"
"stat5b","alpha-beta_T_Cells","Immune-enriched"
"becn1","Non-inflammatory_Macrophage","Immune-enriched"
"aoc3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"aarsd1","Mature_B_Cells","Immune-enriched"
"vat1","Portal_endothelial_Cells","EC-enriched"
"tmem106a","Inflammatory_Macrophage","Immune-enriched"
"dusp3","Hepatocyte_2","Hepatocyte-enriched"
"cd300lg","Central_venous_LSECs","EC-enriched"
"slc4a1","Erythroid_Cells","Immune-enriched"
"grn","Non-inflammatory_Macrophage","Immune-enriched"
"fam171a2","gamma-delta_T_Cells_1","Immune-enriched"
"nmt1","Hepatocyte_2","Hepatocyte-enriched"
"hexim1","Erythroid_Cells","Immune-enriched"
"fmnl1","gamma-delta_T_Cells_1","Immune-enriched"
"mapt","Portal_endothelial_Cells","EC-enriched"
"lrrc37a2","NK-like_Cells","Immune-enriched"
"cdc27","Erythroid_Cells","Immune-enriched"
"myl4","Erythroid_Cells","Immune-enriched"
"cdk5rap3","Hepatocyte_4","Hepatocyte-enriched"
"skap1","NK-like_Cells","Immune-enriched"
"calcoco2","Non-inflammatory_Macrophage","Immune-enriched"
"ube2z","Erythroid_Cells","Immune-enriched"
"phospho1","Erythroid_Cells","Immune-enriched"
"ngfr","Hepatic_Stellate_Cells","Stellate cells-enriched"
"nxph3","Periportal_LSECs","EC-enriched"
"ppp1r9b","Inflammatory_Macrophage","Immune-enriched"
"col1a1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"lrrc59","Plasma_Cells","Immune-enriched"
"chad","Hepatocyte_5","Hepatocyte-enriched"
"nme1","Plasma_Cells","Immune-enriched"
"trim25","Central_venous_LSECs","EC-enriched"
"scpep1","Inflammatory_Macrophage","Immune-enriched"
"lpo","gamma-delta_T_Cells_1","Immune-enriched"
"mpo","Hepatocyte_3","Hepatocyte-enriched"
"rnf43","Hepatocyte_3","Hepatocyte-enriched"
"ca4","Portal_endothelial_Cells","EC-enriched"
"ace","Non-inflammatory_Macrophage","Immune-enriched"
"cd79b","Mature_B_Cells","Immune-enriched"
"icam2","Central_venous_LSECs","EC-enriched"
"ern1","alpha-beta_T_Cells","Immune-enriched"
"pecam1","Portal_endothelial_Cells","EC-enriched"
"milr1","Non-inflammatory_Macrophage","Immune-enriched"
"cep112","Periportal_LSECs","EC-enriched"
"apoh","Hepatocyte_6","Hepatocyte-enriched"
"prkar1a","Non-inflammatory_Macrophage","Immune-enriched"
"fam20a","Hepatocyte_4","Hepatocyte-enriched"
"map2k6","gamma-delta_T_Cells_1","Immune-enriched"
"sox9","Cholangiocytes","Cholangiocyte-enriched"
"sdk2","Mature_B_Cells","Immune-enriched"
"gprc5c","Hepatocyte_3","Hepatocyte-enriched"
"cd300a","gamma-delta_T_Cells_1","Immune-enriched"
"cd300c","Inflammatory_Macrophage","Immune-enriched"
"cd300e","Inflammatory_Macrophage","Immune-enriched"
"rab37","gamma-delta_T_Cells_1","Immune-enriched"
"cd300lf","Inflammatory_Macrophage","Immune-enriched"
"slc9a3r1","Hepatocyte_3","Hepatocyte-enriched"
"nt5c","Mature_B_Cells","Immune-enriched"
"acox1","Hepatocyte_4","Hepatocyte-enriched"
"evpl","Cholangiocytes","Cholangiocyte-enriched"
"tk1","gamma-delta_T_Cells_2","Immune-enriched"
"timp2","Central_venous_LSECs","EC-enriched"
"lgals3bp","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cant1","Central_venous_LSECs","EC-enriched"
"c1qtnf1","Portal_endothelial_Cells","EC-enriched"
"rbfox3","gamma-delta_T_Cells_1","Immune-enriched"
"enpp7","Hepatocyte_1","Hepatocyte-enriched"
"cbx2","Central_venous_LSECs","EC-enriched"
"sgsh","Non-inflammatory_Macrophage","Immune-enriched"
"chmp6","NK-like_Cells","Immune-enriched"
"baiap2","Hepatocyte_4","Hepatocyte-enriched"
"hgs","Inflammatory_Macrophage","Immune-enriched"
"p4hb","Hepatocyte_3","Hepatocyte-enriched"
"pcyt2","Hepatocyte_3","Hepatocyte-enriched"
"aspscr1","Hepatocyte_4","Hepatocyte-enriched"
"rac3","Hepatocyte_6","Hepatocyte-enriched"
"dcxr","Hepatocyte_6","Hepatocyte-enriched"
"csnk1d","NK-like_Cells","Immune-enriched"
"cd7","NK-like_Cells","Immune-enriched"
"colec12","Mature_B_Cells","Immune-enriched"
"yes1","Central_venous_LSECs","EC-enriched"
"myom1","Hepatocyte_3","Hepatocyte-enriched"
"lama1","Cholangiocytes","Cholangiocyte-enriched"
"ptprm","Periportal_LSECs","EC-enriched"
"impact","Hepatocyte_1","Hepatocyte-enriched"
"cdh2","Hepatocyte_4","Hepatocyte-enriched"
"dsc2","Non-inflammatory_Macrophage","Immune-enriched"
"dsg3","Hepatocyte_3","Hepatocyte-enriched"
"dsg2","Cholangiocytes","Cholangiocyte-enriched"
"ttr","Hepatocyte_6","Hepatocyte-enriched"
"siglec15","Central_venous_LSECs","EC-enriched"
"pstpip2","Non-inflammatory_Macrophage","Immune-enriched"
"smad2","Erythroid_Cells","Immune-enriched"
"elac1","Hepatocyte_6","Hepatocyte-enriched"
"dcc","Plasma_Cells","Immune-enriched"
"rab27b","gamma-delta_T_Cells_1","Immune-enriched"
"txnl1","Erythroid_Cells","Immune-enriched"
"nedd4l","Erythroid_Cells","Immune-enriched"
"tnfrsf11a","Non-inflammatory_Macrophage","Immune-enriched"
"bcl2","alpha-beta_T_Cells","Immune-enriched"
"vps4b","NK-like_Cells","Immune-enriched"
"serpinb8","Inflammatory_Macrophage","Immune-enriched"
"cd226","gamma-delta_T_Cells_1","Immune-enriched"
"cyb5a","Hepatocyte_6","Hepatocyte-enriched"
"cndp1","Hepatocyte_4","Hepatocyte-enriched"
"nfatc1","Periportal_LSECs","EC-enriched"
"csnk2a1","Plasma_Cells","Immune-enriched"
"nsfl1c","Hepatocyte_4","Hepatocyte-enriched"
"sirpb1","Inflammatory_Macrophage","Immune-enriched"
"sirpa","Inflammatory_Macrophage","Immune-enriched"
"nop56","Plasma_Cells","Immune-enriched"
"cpxm1","Plasma_Cells","Immune-enriched"
"oxt","Hepatocyte_2","Hepatocyte-enriched"
"itpa","NK-like_Cells","Immune-enriched"
"atrn","Hepatocyte_3","Hepatocyte-enriched"
"siglec1","Non-inflammatory_Macrophage","Immune-enriched"
"mavs","Hepatocyte_4","Hepatocyte-enriched"
"rassf2","Inflammatory_Macrophage","Immune-enriched"
"pcna","gamma-delta_T_Cells_2","Immune-enriched"
"chgb","Mature_B_Cells","Immune-enriched"
"hao1","Hepatocyte_6","Hepatocyte-enriched"
"plcb1","Portal_endothelial_Cells","EC-enriched"
"snap25","Cholangiocytes","Cholangiocyte-enriched"
"ism1","Hepatocyte_2","Hepatocyte-enriched"
"snrpb2","Hepatocyte_6","Hepatocyte-enriched"
"snx5","Non-inflammatory_Macrophage","Immune-enriched"
"dtd1","gamma-delta_T_Cells_2","Immune-enriched"
"thbd","Portal_endothelial_Cells","EC-enriched"
"cd93","Central_venous_LSECs","EC-enriched"
"cst3","Hepatocyte_6","Hepatocyte-enriched"
"cst1","Cholangiocytes","Cholangiocyte-enriched"
"cst7","gamma-delta_T_Cells_1","Immune-enriched"
"entpd6","Central_venous_LSECs","EC-enriched"
"bcl2l1","Erythroid_Cells","Immune-enriched"
"pdrg1","Mature_B_Cells","Immune-enriched"
"bpifb2","Hepatocyte_1","Hepatocyte-enriched"
"bpifb1","Cholangiocytes","Cholangiocyte-enriched"
"raly","gamma-delta_T_Cells_2","Immune-enriched"
"eif2s2","Hepatocyte_6","Hepatocyte-enriched"
"ahcy","Plasma_Cells","Immune-enriched"
"map1lc3a","Hepatic_Stellate_Cells","Stellate cells-enriched"
