"protein_name","CellType","enriched"
"itih1","Hepatocyte_4","Hepatocyte-enriched"
"itih3","Hepatocyte_3","Hepatocyte-enriched"
"itih4","Hepatocyte_3","Hepatocyte-enriched"
"il17rb","Hepatocyte_5","Hepatocyte-enriched"
"slmap","NK-like_Cells","Immune-enriched"
"fam3d","Cholangiocytes","Cholangiocyte-enriched"
"fhit","Hepatocyte_6","Hepatocyte-enriched"
"cadps","Cholangiocytes","Cholangiocyte-enriched"
"lrig1","Hepatocyte_3","Hepatocyte-enriched"
"frmd4b","Non-inflammatory_Macrophage","Immune-enriched"
"cntn3","Hepatocyte_5","Hepatocyte-enriched"
"robo2","Central_venous_LSECs","EC-enriched"
"robo1","Portal_endothelial_Cells","EC-enriched"
"pros1","Hepatocyte_5","Hepatocyte-enriched"
"arl13b","Portal_endothelial_Cells","EC-enriched"
"cpox","Erythroid_Cells","Immune-enriched"
"dcbld2","Hepatocyte_5","Hepatocyte-enriched"
"tbc1d23","Erythroid_Cells","Immune-enriched"
"nit2","Hepatocyte_6","Hepatocyte-enriched"
"alcam","Hepatocyte_5","Hepatocyte-enriched"
"phldb2","Hepatocyte_4","Hepatocyte-enriched"
"cd200","Mature_B_Cells","Immune-enriched"
"btla","Mature_B_Cells","Immune-enriched"
"ccdc80","Hepatic_Stellate_Cells","Stellate cells-enriched"
"cd200r1","Central_venous_LSECs","EC-enriched"
"boc","Portal_endothelial_Cells","EC-enriched"
"tigit","NK-like_Cells","Immune-enriched"
"cd80","Non-inflammatory_Macrophage","Immune-enriched"
"fstl1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"hcls1","Non-inflammatory_Macrophage","Immune-enriched"
"cd86","Non-inflammatory_Macrophage","Immune-enriched"
"pdia5","Hepatocyte_5","Hepatocyte-enriched"
"itgb5","Hepatocyte_3","Hepatocyte-enriched"
"muc13","Cholangiocytes","Cholangiocyte-enriched"
"heg1","Portal_endothelial_Cells","EC-enriched"
"chchd6","Hepatocyte_6","Hepatocyte-enriched"
"podxl2","Mature_B_Cells","Immune-enriched"
"mgll","Hepatocyte_1","Hepatocyte-enriched"
"ruvbl1","Portal_endothelial_Cells","EC-enriched"
"nudt16","Non-inflammatory_Macrophage","Immune-enriched"
"tf","Hepatocyte_4","Hepatocyte-enriched"
"rab6b","Erythroid_Cells","Immune-enriched"
"amotl2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"il20rb","Hepatocyte_3","Hepatocyte-enriched"
"copb2","Plasma_Cells","Immune-enriched"
"rbp1","Hepatic_Stellate_Cells","Stellate cells-enriched"
"clstn2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"atp1b3","Plasma_Cells","Immune-enriched"
"mme","Hepatocyte_5","Hepatocyte-enriched"
"ptx3","Inflammatory_Macrophage","Immune-enriched"
"lxn","Portal_endothelial_Cells","EC-enriched"
"rarres1","Portal_endothelial_Cells","EC-enriched"
"bche","Hepatocyte_6","Hepatocyte-enriched"
"serpini1","Erythroid_Cells","Immune-enriched"
"tnfsf10","Periportal_LSECs","EC-enriched"
"sox2","Hepatocyte_5","Hepatocyte-enriched"
"dcun1d1","Erythroid_Cells","Immune-enriched"
"lamp3","Plasma_Cells","Immune-enriched"
"eif4g1","Hepatocyte_4","Hepatocyte-enriched"
"thpo","Hepatocyte_6","Hepatocyte-enriched"
"ahsg","Hepatocyte_3","Hepatocyte-enriched"
"fetub","Hepatocyte_5","Hepatocyte-enriched"
"hrg","Hepatocyte_5","Hepatocyte-enriched"
"rfc4","gamma-delta_T_Cells_2","Immune-enriched"
"st6gal1","Hepatocyte_3","Hepatocyte-enriched"
"masp1","Hepatocyte_4","Hepatocyte-enriched"
"lpp","Hepatic_Stellate_Cells","Stellate cells-enriched"
"il1rap","Hepatocyte_6","Hepatocyte-enriched"
"ccdc50","Central_venous_LSECs","EC-enriched"
"fgf12","Periportal_LSECs","EC-enriched"
"ppp1r2","alpha-beta_T_Cells","Immune-enriched"
"apod","Hepatic_Stellate_Cells","Stellate cells-enriched"
"tfrc","Erythroid_Cells","Immune-enriched"
"rnf168","gamma-delta_T_Cells_2","Immune-enriched"
"idua","Hepatic_Stellate_Cells","Stellate cells-enriched"
"spon2","gamma-delta_T_Cells_1","Immune-enriched"
"maea","Erythroid_Cells","Immune-enriched"
"tacc3","gamma-delta_T_Cells_2","Immune-enriched"
"letm1","Hepatocyte_4","Hepatocyte-enriched"
"rnf4","gamma-delta_T_Cells_2","Immune-enriched"
"add1","Erythroid_Cells","Immune-enriched"
"hgfac","Hepatocyte_4","Hepatocyte-enriched"
"lrpap1","Plasma_Cells","Immune-enriched"
"lyar","gamma-delta_T_Cells_1","Immune-enriched"
"cytl1","Periportal_LSECs","EC-enriched"
"man2b2","Hepatocyte_4","Hepatocyte-enriched"
"s100p","Hepatocyte_3","Hepatocyte-enriched"
"grpel1","Hepatocyte_6","Hepatocyte-enriched"
"sorcs2","Hepatocyte_3","Hepatocyte-enriched"
"afap1","Portal_endothelial_Cells","EC-enriched"
"bst1","Inflammatory_Macrophage","Immune-enriched"
"cd38","Plasma_Cells","Immune-enriched"
"fgfbp2","gamma-delta_T_Cells_1","Immune-enriched"
"qdpr","Hepatocyte_1","Hepatocyte-enriched"
"lap3","Hepatocyte_6","Hepatocyte-enriched"
"slit2","Hepatic_Stellate_Cells","Stellate cells-enriched"
"kcnip4","Portal_endothelial_Cells","EC-enriched"
"sod3","Hepatic_Stellate_Cells","Stellate cells-enriched"
"pcdh7","Portal_endothelial_Cells","EC-enriched"
"pgm2","Central_venous_LSECs","EC-enriched"
"tlr1","Non-inflammatory_Macrophage","Immune-enriched"
"klb","Hepatocyte_3","Hepatocyte-enriched"
"ugdh","Hepatocyte_2","Hepatocyte-enriched"
"gnpda2","Erythroid_Cells","Immune-enriched"
"txk","NK-like_Cells","Immune-enriched"
"pdgfra","Hepatic_Stellate_Cells","Stellate cells-enriched"
"kit","Cholangiocytes","Cholangiocyte-enriched"
"kdr","Central_venous_LSECs","EC-enriched"
"spink2","alpha-beta_T_Cells","Immune-enriched"
"rest","Erythroid_Cells","Immune-enriched"
"igfbp7","Hepatic_Stellate_Cells","Stellate cells-enriched"
"odam","Cholangiocytes","Cholangiocyte-enriched"
"jchain","Plasma_Cells","Immune-enriched"
"grsf1","Non-inflammatory_Macrophage","Immune-enriched"
"gc","Hepatocyte_3","Hepatocyte-enriched"
"afp","Hepatocyte_6","Hepatocyte-enriched"
"afm","Hepatocyte_6","Hepatocyte-enriched"
